text,clear_01csv,words,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,arguments_data.thisRepN,arguments_data.thisTrialN,arguments_data.thisN,arguments_data.thisIndex,word_data.thisRepN,word_data.thisTrialN,word_data.thisN,word_data.thisIndex,date,frameRate,expName,session,participant,
Instructions 1!,,,0,0,0,0,,,,,,,,,2014_Sep_15_0150,49.911889575,Arguments,001,999,
Instructions 2!,,,0,1,1,1,,,,,,,,,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",this,,,,,0,0,0,0,0,0,0,0,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",is,,,,,0,0,0,0,0,1,1,1,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",the,,,,,0,0,0,0,0,2,2,2,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",clear,,,,,0,0,0,0,0,3,3,3,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",argument,,,,,0,0,0,0,0,4,4,4,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",,,,,,0,0,0,0,,,,,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",this,,,,,1,0,1,0,0,0,0,0,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",is,,,,,1,0,1,0,0,1,1,1,2014_Sep_15_0150,49.911889575,Arguments,001,999,
,"messy_01.csv",a MESSY,,,,,1,0,1,0,0,2,2,2,2014_Sep_15_0150,49.911889575,Arguments,001,999,
