text,argument,words,question,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,arguments_data.thisRepN,arguments_data.thisTrialN,arguments_data.thisN,arguments_data.thisIndex,word_data.thisRepN,word_data.thisTrialN,word_data.thisN,word_data.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,rating.keys,rating.rt,date,frameRate,expName,session,participant,
"Instructions 1!",,,,0,0,0,0,,,,,,,,,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
"Instructions 2!",,,,0,1,1,1,,,,,,,,,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
"Instructions 3!",,,,0,2,2,2,,,,,,,,,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv","words\clear_this.jpg",,,,,,0,0,0,0,0,0,0,0,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv","words\clear_is.jpg",,,,,,0,0,0,0,0,1,1,1,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv","words\clear_the.jpg",,,,,,0,0,0,0,0,2,2,2,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv","words\clear_clear.jpg",,,,,,0,0,0,0,0,3,3,3,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv","words\clear_argument.jpg",,,,,,0,0,0,0,0,4,4,4,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv",,"This argument might be wrong but it was well argued nonetheless.",,,,,0,0,0,0,,,,,0,0,0,3,8,4.18817416831,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv",,"This was a well formed argument.",,,,,0,0,0,0,,,,,0,1,1,2,8,1.28933978864,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv",,"This argument was unconvincing.",,,,,0,0,0,0,,,,,0,2,2,4,8,0.362658893126,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv",,"There were logical flaws in this argument.",,,,,0,0,0,0,,,,,0,3,3,1,8,0.101197672211,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv",,"This argument was convincing.",,,,,0,0,0,0,,,,,0,4,4,0,8,0.0807789759347,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"clear_01.csv",,,,,,,0,0,0,0,,,,,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
,"messy_01.csv","words\messy_this.jpg",,,,,,0,1,1,1,0,0,0,0,,,,,,,2014_Sep_15_0245,50.4137836739,Arguments,001,999,
